TimeWindow  TotalIterations  Iterations  Convergence  
1  4  4  1  
2  6  2  1  
3  8  2  1  
4  10  2  1  
5  12  2  1  
6  14  2  1  
7  16  2  1  
8  18  2  1  
9  20  2  1  
10  22  2  1  
11  24  2  1  
12  26  2  1  
13  28  2  1  
14  30  2  1  
15  32  2  1  
16  34  2  1  
17  36  2  1  
18  38  2  1  
19  40  2  1  
20  42  2  1  
21  44  2  1  
22  46  2  1  
23  48  2  1  
24  50  2  1  
25  52  2  1  
26  54  2  1  
27  56  2  1  
28  58  2  1  
29  60  2  1  
30  62  2  1  
31  64  2  1  
32  66  2  1  
33  68  2  1  
34  70  2  1  
35  72  2  1  
36  74  2  1  
37  76  2  1  
38  78  2  1  
39  80  2  1  
40  82  2  1  
41  84  2  1  
42  86  2  1  
43  88  2  1  
44  90  2  1  
45  92  2  1  
46  94  2  1  
47  96  2  1  
48  98  2  1  
49  100  2  1  
50  102  2  1  
51  104  2  1  
52  106  2  1  
53  108  2  1  
54  110  2  1  
55  112  2  1  
56  114  2  1  
57  116  2  1  
58  118  2  1  
59  120  2  1  
60  122  2  1  
61  124  2  1  
62  126  2  1  
63  128  2  1  
64  130  2  1  
65  132  2  1  
66  134  2  1  
67  136  2  1  
68  138  2  1  
69  140  2  1  
70  142  2  1  
71  144  2  1  
72  146  2  1  
73  148  2  1  
74  150  2  1  
75  152  2  1  
76  153  1  1  
77  154  1  1  
78  155  1  1  
79  156  1  1  
80  157  1  1  
81  158  1  1  
82  159  1  1  
83  160  1  1  
84  161  1  1  
85  162  1  1  
86  163  1  1  
87  164  1  1  
88  165  1  1  
89  167  2  1  
90  169  2  1  
91  171  2  1  
92  173  2  1  
93  175  2  1  
94  177  2  1  
95  179  2  1  
96  181  2  1  
97  183  2  1  
98  185  2  1  
99  187  2  1  
100  189  2  1  
101  191  2  1  
102  193  2  1  
103  195  2  1  
104  197  2  1  
105  199  2  1  
106  201  2  1  
107  203  2  1  
108  205  2  1  
109  207  2  1  
110  209  2  1  
111  211  2  1  
112  213  2  1  
113  215  2  1  
114  217  2  1  
115  219  2  1  
116  221  2  1  
117  223  2  1  
118  225  2  1  
119  227  2  1  
120  229  2  1  
121  231  2  1  
122  233  2  1  
123  235  2  1  
124  237  2  1  
125  239  2  1  
126  241  2  1  
127  243  2  1  
128  245  2  1  
129  247  2  1  
130  249  2  1  
131  251  2  1  
132  253  2  1  
133  255  2  1  
134  257  2  1  
135  259  2  1  
136  261  2  1  
137  263  2  1  
138  265  2  1  
139  267  2  1  
140  269  2  1  
141  271  2  1  
142  273  2  1  
143  275  2  1  
144  277  2  1  
145  279  2  1  
146  281  2  1  
147  283  2  1  
148  285  2  1  
149  287  2  1  
150  289  2  1  
151  291  2  1  
152  293  2  1  
153  295  2  1  
154  297  2  1  
155  299  2  1  
156  301  2  1  
157  303  2  1  
158  305  2  1  
159  307  2  1  
160  309  2  1  
161  311  2  1  
162  313  2  1  
163  315  2  1  
164  317  2  1  
165  319  2  1  
166  321  2  1  
167  323  2  1  
168  325  2  1  
169  327  2  1  
170  329  2  1  
171  331  2  1  
172  333  2  1  
173  335  2  1  
174  337  2  1  
175  339  2  1  
176  341  2  1  
177  343  2  1  
178  345  2  1  
179  347  2  1  
180  349  2  1  
181  351  2  1  
182  353  2  1  
183  355  2  1  
184  357  2  1  
185  359  2  1  
186  361  2  1  
187  363  2  1  
188  365  2  1  
189  367  2  1  
190  369  2  1  
191  371  2  1  
192  373  2  1  
193  375  2  1  
194  377  2  1  
195  379  2  1  
196  381  2  1  
197  383  2  1  
198  385  2  1  
199  387  2  1  
200  389  2  1  
